Ad Soyad,Birim,Unvan,T.C. Kimlik No,Doğum Tarihi,Doğum Yeri,Kart No,Veriliş Tarihi
Prof. Cansin Bedri Aslan,Mühendis,Profesör,80715252314,2000-02-01,Antalya,53138476,2007-02-27
Yrd. Doç. Kaver Zilfa Demirel Çorlu,Müezzin,Asistan,82592585790,1969-10-07,Ankara,63626747,2023-09-28
Taçnur Gülsevil Yaman İhsanoğlu,Mühendis,Profesör,53962178584,1972-12-16,Adana,56426174,2013-11-28
Savni Akçay,V.H.K.İ.,Pratisyen,21108758990,2005-04-11,Van,23220957,2008-12-31
Beriye Aksu,Mühendis,Asistan,72284837528,1982-08-01,Diyarbakır,92940969,2017-07-26
Borataş İhsanoğlu,Mühendis,Pratisyen,58750042450,1963-02-24,Van,61859909,2012-12-30
Niyazi Karadeniz,Teknisyen,Profesör,57450757572,1995-11-01,Erzurum,22299081,2021-10-16
Oğuzman Demirel,Daire Başkanı,Profesör,63389463552,1983-10-25,Adana,98711764,2013-02-04
Arş. Gör. Buyrukhan Dumanlı,Tekniker,Pratisyen,44007783474,1970-03-08,Samsun,38524532,2024-10-10
Vafir Yüksel,Teknisyen,Profesör,11491861674,1993-06-05,Van,15849407,2012-02-04
Alışık Döner Karadeniz Eraslan,V.H.K.İ.,Profesör,89838138086,2005-05-23,Kayseri,23076371,2012-12-09
Öge Durmuş,Teknisyen,Doçent,32692911340,1964-11-18,Gaziantep,31203373,2012-12-17
Adviye Şener Arsoy,Mühendis,Pratisyen,93139983948,1966-03-24,Malatya,70437955,2021-10-12
Edgübay Yertan Yılmaz,Tekniker,Profesör,58839891146,1974-02-25,Samsun,19629935,2016-12-04
Gülbeyan Soylu,V.H.K.İ.,Uzman Doktor,83435081080,1980-11-22,Antalya,30122719,2023-03-10
Uz. Altınçiçek Aycagül Aslan,Memur,Profesör,45188872834,1991-05-14,İstanbul,78453615,2022-06-23
Gülseren Zinnure Yaman Fırat,İmam-Hatip,Asistan,35458910038,1977-05-25,Trabzon,79793891,2009-05-27
Uz. Fitnat Ergül Kısakürek,Teknisyen,Pratisyen,73025611094,1981-08-08,Konya,77679808,2006-02-03
Öğr. Sarıcabay Bilgin,Daire Başkanı,Pratisyen,32804417470,1968-09-07,Konya,31662497,2008-03-12
Öğr. Nürice Gül Karadeniz,Memur,Doçent,69970788318,1968-03-19,Trabzon,77164946,2017-12-16
Zaliha Bilge,Memur,Uzman Doktor,75905674250,1995-07-08,Van,48339989,2019-08-29
Fetullah Yorulmaz,V.H.K.İ.,Uzman Doktor,17752720056,1997-01-04,Diyarbakır,85886239,2008-01-11
Öğr. Kanpulat Çakar Duran,Memur,Pratisyen,77270931310,1972-04-30,Adana,66440488,2022-07-07
Üçgül Korutürk,Teknisyen,Profesör,42492013892,1973-11-23,Rize,27562527,2008-01-20
Feraye Şeref Yaman Yüksel,V.H.K.İ.,Uzman Doktor,74078212214,1994-11-01,Adana,52429440,2016-08-17
Yrd. Doç. Gülev Canseven Arsoy Duran,Mühendis,Uzman Doktor,14366312264,1999-04-03,Kayseri,16000489,2014-09-13
Dr. Güllühan Kâzime Akça Şensoy,Müezzin,Uzman Doktor,58618292348,1983-11-11,Konya,38164057,2010-07-14
Sançar Sezer,V.H.K.İ.,Uzman Doktor,33855957588,1982-02-23,Samsun,97370018,2010-04-19
Öğr. Uğan Durdu,İmam-Hatip,Doçent,13858765250,1984-04-05,Van,61786634,2008-06-26
Kübran Akça Ülker,Memur,Pratisyen,42191247178,1984-05-31,Malatya,34780601,2018-04-27
Zehranur İhsanoğlu,Memur,Asistan,86221561742,2004-02-09,Kayseri,49332525,2020-07-07
Öğr. Nezize Yazgül Güçlü,Daire Başkanı,Pratisyen,92299544778,1961-12-02,Bursa,16235434,2015-07-02
Öğr. Faize Nirgül Zorlu Karadeniz,Mühendis,Pratisyen,50708057158,1965-05-29,Van,11677995,2019-11-28
Üzer Karadeniz,V.H.K.İ.,Uzman Doktor,84914395520,2001-03-17,Mersin,60200000,2021-12-31
Hüsnühâl Yüksel Yaman,Memur,Uzman Doktor,98561813146,2000-04-05,Adana,34237462,2021-11-03
Canur Dilsitan Yaman Akgündüz,Müezzin,Profesör,56523710100,1988-02-26,Mersin,74653645,2020-08-12
Fügen Hezniye Akgündüz,Tekniker,Uzman Doktor,82680564010,1971-02-11,Konya,81268424,2013-06-02
Mihin İhsanoğlu,Mühendis,Pratisyen,12334318904,1981-01-24,İstanbul,96331451,2024-02-27
Zerafet Yüksel Yorulmaz,Müezzin,Asistan,43006481084,1992-05-25,Gaziantep,95770313,2015-06-02
Öğr. Behrem Amaç Zorlu,Memur,Asistan,77007448838,1972-06-09,Konya,30143642,2008-10-17
Soyselçuk Yönetmen Karadeniz Arslan,Daire Başkanı,Asistan,52565349582,1969-01-11,Konya,93513837,2019-11-26
Uz. Rahiye Bilgin Alemdar,Mühendis,Profesör,15847569184,1968-05-10,Samsun,93766452,2020-09-24
Gençay Gülen,Teknisyen,Pratisyen,14170843312,1965-04-16,Eskişehir,38705538,2012-05-16
Esna Şama,Daire Başkanı,Doçent,99649035566,1972-01-23,Eskişehir,31589515,2018-12-23
Öğr. Meryeme Korutürk Çetin,Mühendis,Profesör,36533073730,1997-10-16,Eskişehir,99717235,2010-05-24
N˜izamettin Tayyip Zengin Hançer,İmam-Hatip,Doçent,92672041214,1977-01-04,Van,81624082,2009-10-22
Yrd. Doç. Ömür Aksu,V.H.K.İ.,Uzman Doktor,71670322334,1988-04-09,Malatya,27870574,2006-09-04
Ayten Münezzer Çetin Çamurcuoğlu,Tekniker,Profesör,76426170092,1980-04-21,Mersin,45316593,2005-12-15
Çev. Ümmühan Duran Ergül,Müezzin,Asistan,93838935828,1977-06-21,Konya,79884944,2008-11-04
Öğr. Özakan Çetin,Müezzin,Uzman Doktor,24085121788,2004-01-27,Trabzon,25583656,2018-02-12
Enes İzgü Demirel,Mühendis,Asistan,33317354290,2004-08-01,Konya,26929465,2009-05-26
Öğr. Yadigar Teber Karadeniz,Daire Başkanı,Asistan,43558279610,1970-12-09,Trabzon,19646974,2010-02-19
Beyda Abdulmenaf Duran Aslan,Tekniker,Profesör,33440243126,1992-02-11,Erzurum,64846650,2020-11-18
Doç. Vezat Cantez Bilge,Teknisyen,Profesör,56963907252,1984-03-28,Trabzon,36144855,2009-08-20
Prof. Cabir Ülker,V.H.K.İ.,Doçent,63552628030,1982-12-19,İstanbul,93585863,2019-09-28
Algış Havali Eraslan Güçlü,V.H.K.İ.,Asistan,70856295530,1988-07-04,Malatya,69873153,2005-06-10
Ilgı Uğurkan Soylu,Mühendis,Doçent,19349003740,1981-06-10,Adana,83608422,2005-02-10
Okt. Feryas Şeyda Şensoy Eraslan,Daire Başkanı,Asistan,93245030680,2004-11-10,İzmir,47511283,2019-06-02
Gazel Mansız,Daire Başkanı,Doçent,82057911980,1988-03-28,Antalya,81376385,2007-01-31
Eyyüp Bilir,Daire Başkanı,Asistan,34975200202,1969-06-05,Konya,70858921,2006-01-14
Tagangül Şafak Zorlu,İmam-Hatip,Pratisyen,59339785942,1997-11-15,Ankara,16191682,2007-07-17
Yrd. Doç. Gülmisal Haliye Akar Arslan,V.H.K.İ.,Profesör,33181527820,1963-10-26,Bursa,23609163,2019-03-16
Okt. Dilsitan Mehrigül Zorlu,Memur,Profesör,36280132094,1992-05-29,Eskişehir,24573262,2005-11-15
Haluk Bilir,Mühendis,Asistan,42265209392,1997-09-18,Eskişehir,77345625,2006-02-03
Bilgütay Şama,Daire Başkanı,Doçent,68232748268,1968-01-31,Diyarbakır,35088467,2007-04-05
Bulunç Bariş Şama Kısakürek,Tekniker,Uzman Doktor,91510464314,2002-11-01,Ankara,19499337,2013-09-30
Elvan Akdeniz,Memur,Uzman Doktor,23406215250,1976-12-18,Samsun,42245772,2020-07-05
Yrd. Doç. Sarya Maşide Alemdar Bilir,Mühendis,Doçent,96263935722,1978-04-13,Gaziantep,62133353,2013-08-26
Erdogan Ergül,V.H.K.İ.,Uzman Doktor,60531888188,1976-07-25,Rize,99996530,2012-01-14
Bozbağ Bozerk Türk İnönü,Müezzin,Uzman Doktor,42269515284,1969-03-06,Konya,42851242,2020-06-16
Prof. Sernur Zöhrehan Demir,İmam-Hatip,Profesör,81222639698,1978-02-09,Trabzon,67707135,2010-07-27
Tekecan Gencaslan Aksu Yüksel,V.H.K.İ.,Asistan,49304918390,1984-02-02,Diyarbakır,16167216,2014-08-10
